RPM,WindMagnitude,AngleDegrees,AzimuthAngle,Fx,Fy,Fz,Qx,Qy,Qz
45,2,20,108.0,20.665473946181862,-1.3668499936011942,4352.079288979576,173.32020158379586,6.6803419892236136,-1450.4956629067262
45,2,20,144.0,20.719435752184037,-1.1334063309306979,4342.7030507847,174.07964646308344,8.292612442813928,-1447.4222519612063
45,2,20,180.0,20.712007964798183,-1.2961476131430048,4327.375381791399,174.41641781416757,7.495037501260153,-1442.3983301194462
45,2,20,216.0,21.106025669397848,-1.4579493569725244,4311.866578269359,177.25834565641946,6.4865795546979115,-1437.3154064071161
45,2,20,252.0,21.286377571762962,-1.20603635253939,4302.197326130691,178.75921355170473,8.113310530779634,-1434.14655023684
45,2,20,288.0,21.01626158419798,-1.2101277572653446,4302.197326130679,177.04308029567068,8.215444923907835,-1434.1465502368355
45,2,20,324.0,21.004095007833616,-1.4594932848085955,4311.866578269352,176.6107475645899,6.5251208729449655,-1437.3154064071125
45,4,-20,0.0,39.27397768100512,-2.1787300202127415,3779.8461181685557,331.9358551529301,13.832596893168319,-1262.9720691571222
45,4,-20,36.0,39.00783115800734,-1.6105046504212543,3811.4384724162123,331.612017522155,18.33637985209322,-1273.3012763322504
45,4,-20,72.0,39.03762386804512,-2.6634501309252148,3831.109342693126,331.9418596369253,12.098958141349105,-1279.7334566865952
45,4,-20,108.0,40.11808781830376,-2.6470845120249495,3831.1093426931193,338.8063926610499,11.690420568805727,-1279.7334566865945
45,4,-20,144.0,39.41555380427548,-1.6043289390964812,3811.4384724162187,334.20240988956607,18.182214578900556,-1273.3012763322536
45,4,-20,180.0,37.98241559461209,-2.1982931096363294,3779.846118168562,323.73014815770256,14.320953436320043,-1262.9720691571238
45,4,-20,216.0,38.20853020100976,-2.7378346594411664,3748.5722524032926,323.74076867627093,9.983442732996672,-1252.7484220195852
45,4,-20,252.0,38.10105371082688,-1.7381698394553935,3729.416630101299,322.7749349965004,15.863361422640434,-1246.4870144198792
45,4,-20,288.0,37.09621826946473,-1.7533899251274894,3729.416630101292,316.39089407650204,16.243302865345033,-1246.4870144198765
45,4,-20,324.0,37.81867928276227,-2.743739670487048,3748.57225240329,321.26392111263596,10.130850471776876,-1252.7484220195845
45,4,-15,0.0,40.90881173117776,-2.305769227740121,3870.151822180027,345.1628963403875,14.343649078080107,-1292.5016383726888
45,4,-15,36.0,40.502914641023786,-1.702316511326122,3902.478033568227,343.754390115919,19.03106732693974,-1303.0750707794264
45,4,-15,72.0,40.459995155336514,-2.8026741921974225,3922.558064061988,343.4656963700626,12.459616949963815,-1309.6437303698556
45,4,-15,108.0,41.59092059512615,-2.785544240986871,3922.5580640619823,350.65082737549955,12.031999227237193,-1309.6437303698553
45,4,-15,144.0,40.931204552852755,-1.6958292708378806,3902.4780335682335,346.47545289915195,18.8691253012326,-1303.075070779429
45,4,-15,180.0,39.54413052331535,-2.32643984108975,3870.1518221800243,336.4926401819102,14.859652918846145,-1292.5016383726881
45,4,-15,216.0,39.90924761489073,-2.9069992227406427,3838.055713051515,337.5762267630228,10.29811280889093,-1282.004986272519
45,4,-15,252.0,39.87614409735315,-1.8471461960338016,3818.3479519925804,337.23872029709037,16.585880038237647,-1275.560543562121
